% f evaluations | g evaluations | best noise-free fitness - Fopt (1.791698516106e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
67 67 +1.165490519e-04 +5.060996816e+01 00000000 +4.1267e-01 +4.1684e+00 -3.2673e+00 +3.5863e+00 +7.7989e-01
73 73 +1.994437895e-06 +5.060985360e+01 00000000 +4.1491e-01 +4.1714e+00 -3.2682e+00 +3.5858e+00 +7.7966e-01
76 75 +1.840437108e-06 +5.060985345e+01 00000000 +4.1491e-01 +4.1714e+00 -3.2682e+00 +3.5858e+00 +7.7966e-01
79 79 +2.000118116e-08 +5.060985163e+01 00000000 +4.1476e-01 +4.1712e+00 -3.2681e+00 +3.5859e+00 +7.7967e-01
80 79 +5.100019962e-09 +5.060985162e+01 00000000 +4.1476e-01 +4.1712e+00 -3.2681e+00 +3.5859e+00 +7.7967e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (8.003985161055e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.501711591e+04 +1.632901510e+02 09009009 +8.5327e-01 +4.1904e+00 -3.3266e+00 +4.7196e+00 -2.8039e+00
2 1 +5.501711581e+04 +1.632901510e+02 09009009 +8.5327e-01 +4.1904e+00 -3.3266e+00 +4.7196e+00 -2.8039e+00
7 7 +2.625371238e+04 +1.338322831e+02 09009009 -2.3086e+00 -2.4427e-01 -3.0846e+00 +1.8407e+00 -9.9582e-01
13 13 +1.785317478e+04 +1.215373717e+02 09009009 -2.1326e+00 -1.4675e+00 -3.0122e+00 +8.1875e-01 -1.6399e-01
19 19 +1.218182072e+04 +1.106428023e+02 09009009 -1.2174e+00 -2.1801e+00 -2.8261e+00 +1.8116e-01 +5.4327e-01
25 25 +3.196839037e+01 +1.120082420e+02 00000000 -2.6551e+00 -2.9643e+00 -3.5807e+00 -2.4496e+00 -5.5078e-01
31 31 +3.023510039e+01 +1.102749520e+02 00000000 -2.2461e+00 -2.9630e+00 -3.4634e+00 -2.3960e+00 -4.2560e-01
37 37 +2.547231700e+01 +1.055121686e+02 00000000 -1.4873e+00 -3.0822e+00 -3.3944e+00 -2.3005e+00 +2.7918e-02
43 43 +1.013313598e+01 +9.017298759e+01 00000000 +1.8316e+00 -3.1021e+00 -2.6660e+00 -2.0431e+00 +1.1479e+00
49 49 +1.122395575e+00 +8.116224719e+01 00000000 +4.0781e+00 -3.0948e+00 -2.2401e+00 -1.8565e+00 +1.7933e+00
55 55 +4.786665094e-01 +8.051851812e+01 00000000 +2.9496e+00 -4.4440e+00 -2.4436e+00 -4.0969e+00 +1.0149e+00
61 61 +2.240397953e-02 +8.006225559e+01 00000000 +3.6947e+00 -4.2642e+00 -2.4178e+00 -3.9570e+00 +1.0245e+00
67 67 +1.224108320e-04 +8.003997402e+01 00000000 +3.7041e+00 -4.2627e+00 -2.4165e+00 -3.9560e+00 +1.0257e+00
73 73 +1.992166744e-06 +8.003985360e+01 00000000 +3.7056e+00 -4.2622e+00 -2.4164e+00 -3.9556e+00 +1.0257e+00
74 73 +1.936948706e-06 +8.003985355e+01 00000000 +3.7056e+00 -4.2622e+00 -2.4164e+00 -3.9556e+00 +1.0257e+00
77 76 +1.660705124e-06 +8.003985327e+01 00000000 +3.7056e+00 -4.2622e+00 -2.4164e+00 -3.9556e+00 +1.0257e+00
79 79 +2.000217592e-08 +8.003985163e+01 00000000 +3.7055e+00 -4.2622e+00 -2.4164e+00 -3.9556e+00 +1.0257e+00
91 91 +2.011120159e-10 +8.003985161e+01 00000000 +3.7056e+00 -4.2622e+00 -2.4164e+00 -3.9556e+00 +1.0257e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (5.910985161055e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.163442060e+04 +7.924883198e+01 00909009 -4.6175e+00 -2.7104e+00 +2.0777e+00 -1.4738e+00 +2.0949e+00
3 2 +4.163442059e+04 +7.924883190e+01 00909009 -4.6175e+00 -2.7104e+00 +2.0777e+00 -1.4738e+00 +2.0949e+00
7 7 +1.115159202e+04 +8.110270443e+01 00909009 -5.8104e-01 -2.3261e+00 +4.1738e-01 -1.9997e-02 +1.2730e+00
13 13 +7.520169091e+03 +8.070677137e+01 00909009 -2.1970e-01 -2.5106e+00 +3.9096e-01 +3.3039e-01 +1.0970e+00
19 19 +2.289946087e+01 +8.200931248e+01 00000000 +1.1853e+00 -2.4562e+00 -6.8829e-01 +2.1843e-01 +1.0797e+00
